Order ID,Order Date,Ship Date,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1000,2021-01-01,2021-01-03,Central,Office Supplies,Phones,2961.6,6,0.28,-533.09
ORD-1001,2021-01-02,2021-01-04,South,Technology,Storage,2430.82,4,0.04,145.85
ORD-1002,2021-01-03,2021-01-05,East,Furniture,Storage,3229.51,7,0.28,-581.31
ORD-1003,2021-01-04,2021-01-06,Central,Furniture,Chairs,371.03,8,0.21,-40.81
ORD-1004,2021-01-05,2021-01-07,Central,Furniture,Tables,2920.92,6,0.16,-175.26
ORD-1005,2021-01-06,2021-01-08,South,Furniture,Storage,2829.35,5,0.01,254.64
ORD-1006,2021-01-07,2021-01-09,East,Furniture,Storage,2825.27,6,0.14,-113.01
ORD-1007,2021-01-08,2021-01-10,East,Furniture,Binders,3037.26,5,0.12,-60.75
ORD-1008,2021-01-09,2021-01-11,Central,Furniture,Tables,3398.52,8,0.05,169.93
ORD-1009,2021-01-10,2021-01-12,West,Office Supplies,Binders,4034.7,1,0.2,-403.47
ORD-1010,2021-01-11,2021-01-13,Central,Technology,Tables,1385.61,7,0.29,-263.27
ORD-1011,2021-01-12,2021-01-14,Central,Furniture,Binders,4133.99,2,0.17,-289.38
ORD-1012,2021-01-13,2021-01-15,Central,Office Supplies,Storage,2516.37,9,0.21,-276.8
ORD-1013,2021-01-14,2021-01-16,Central,Office Supplies,Storage,431.44,1,0.02,34.52
ORD-1014,2021-01-15,2021-01-17,South,Technology,Chairs,339.83,6,0.13,-10.19
ORD-1015,2021-01-16,2021-01-18,East,Furniture,Binders,1704.48,9,0.03,119.31
ORD-1016,2021-01-17,2021-01-19,South,Technology,Phones,3935.24,1,0.18,-314.82
ORD-1017,2021-01-18,2021-01-20,South,Furniture,Chairs,3553.02,4,0.28,-639.54
ORD-1018,2021-01-19,2021-01-21,South,Office Supplies,Binders,3953.64,4,0.2,-395.36
ORD-1019,2021-01-20,2021-01-22,Central,Office Supplies,Binders,2610.48,9,0.02,208.84
ORD-1020,2021-01-21,2021-01-23,West,Office Supplies,Chairs,2228.99,5,0.11,-22.29
ORD-1021,2021-01-22,2021-01-24,East,Office Supplies,Storage,779.89,5,0.17,-54.59
ORD-1022,2021-01-23,2021-01-25,West,Technology,Binders,1674.55,6,0.12,-33.49
